 Fid	WGSX	WGSY	RealId	PointCode	Elev	RegDate	Azimuth	CodeIdx	CompanyName	Diameter	Fix	Geo	Heading	Height	HoleDepth	InstrumentHeight	ManholeIdx	ModelName	Pitch	Roll	Code	Width	Images
1.72429E+21	35.1392363	128.9081142	ararB03	OM	-3.24	2020-06-25T12:04:02.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.138689	128.9081198	ararB03	OM	-3.21	2020-06-25T12:03:28.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.139779	128.9081654	ararB03	OM	-3.2	2020-06-25T12:02:29.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1400928	128.9081925	ararB03	OM	-3.21	2020-06-25T12:01:50.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1404989	128.9082287	ararB03	OM	-3.14	2020-06-25T12:01:19.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1410384	128.9082706	ararB03	OM	-2.89	2020-06-25T12:00:46.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1415755	128.9083129	ararB03	OM	-3.01	2020-06-25T12:00:17.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1417545	128.9083203	ararB03	OM	-3.21	2020-06-25T11:59:42.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.14007674	128.9085025	ararB03	OM	0.38	2020-06-25T11:58:59.000Z	0			600	0	0	0	0	6.5	0	7		0	0	2	1700	obs_images/gnseA/white.jpg
1.72429E+21	35.1407293	128.9085581	ararB03	OM	-2.59	2020-06-25T11:58:07.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1413744	128.9086056	ararB03	OM	-2.49	2020-06-25T11:57:34.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1417403	128.9086413	ararB03	OM	-2.51	2020-06-25T11:57:01.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13741739	128.9096694	ararB03	OM	0	2020-06-25T11:56:09.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13800777	128.9099127	ararB03	OM	2.93	2020-06-25T11:55:37.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13652155	128.9082641	ararB03	OM	-3.33	2020-03-01T08:45:50.000Z	99.99			600	0	0	0	0	6.6	180	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13709388	128.9082178	ararB03	OM	-2.39	2020-03-04T08:00:00.000Z	99.99			600	0	0	0	0	6.5	180	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13480944	128.9083972	ararB03	OM	-0.56	2020-03-01T08:30:00.000Z	355.18			600	0	0	0	1700	6.5	180	8		0	0	3	1700	obs_images/gnseA/white.jpg
1.72429E+21	35.13541375	128.9083513	ararB03	OM	-0.7	2020-03-01T08:10:00.000Z	99.99			600	0	0	0	0	6.9	180	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13597008	128.9083081	ararB03	OM	-1.93	2020-03-01T08:05:00.000Z	99.99			600	0	0	0	0	6.8	180	6		0	0	2	1300	obs_images/gnseA/white.jpg
