startno,startX,startY,startZ,valve,stopno,stopX,stopY,stopZ,valve,diameter,,,,,
1-105,128.9094161,35.13644964,2.19,1,1-101,128.9123693,35.13628305,2.5,0,100,,,,,
1-105-1,128.9094557,35.13692174,1.965,0,1-097,128.9095273,35.13739203,1.79,2,200,,,,,
1-106,128.9093861,35.13608993,2.1,1,1-105,128.9094162,35.13644964,2.14,0,200,,,,,
1-106,128.9093861,35.13608993,2.125,2,1-103,128.9123392,35.13592336,2.305,0,150,,,,,
1-107,128.9087195,35.13137775,4.61,0,2-161,128.9087944,35.13043874,4.34,0,600,,,,,
1-108,128.9086111,35.14509346,1.72,5,1-021,128.908887,35.14839473,1.52,5,500,,,,,
1-109,128.9062986,35.15961197,0,2,1-110,128.9058971,35.15963461,0,0,100,,,,,
1-109,128.9062986,35.15961197,0,1,1-112,128.906204,35.15847894,0,2,100,,,,,
1-110,128.9058971,35.1596346,0,0,1-110-1,128.9057733,35.15914614,0,0,100,,,,,
1-110-1,128.9057733,35.15914614,0,0,1-110-2,128.9057355,35.15889604,0,0,100,,,,,
1-110-2,128.9057355,35.15889603,0,0,1-110-3,128.9056978,35.15868361,0,0,100,,,,,
1-110-3,128.9056978,35.1586836,0,0,1-111,128.9056911,35.15850682,0,2,100,,,,,
1-111,128.905691,35.15850784,0,0,1-111-1,128.9056916,35.15813986,0,0,100,,,,,
1-111,128.9056911,35.15850682,0,1,1-112,128.906204,35.15847894,0,1,100,,,,,
1-111-1,128.9056915,35.15813985,0,0,1-111-2,128.905647,35.15771324,0,0,100,,,,,
1-111-2,128.905647,35.15771323,0,0,1-111-3,128.905595,35.15751564,0,0,100,,,,,
1-111-3,128.9055949,35.15751563,0,0,1-114,128.9055197,35.15728821,0,1,100,,,,,
1-112,128.9062039,35.15847894,0,0,1-113,128.9061018,35.15725541,0,1,100,,,,,
1-113,128.9061018,35.15725541,0,0,1-113-1,128.9063509,35.15724137,0,0,100,,,,,
1-113,128.9061018,35.15725541,0,1,1-116,128.9060696,35.1568712,0,0,100,,,,,
1-113-1,128.9063509,35.15724136,0,0,1-050,128.906616,35.15735292,0,1,100,,,,,
1-114,128.9055197,35.1572882,0,2,1-114-1,128.9054925,35.15707048,0,0,100,,,,,
1-114,128.9055197,35.1572882,0,1,1-113,128.9061018,35.15725541,0,2,100,,,,,
1-114-1,128.9054925,35.15707047,0,0,1-115,128.9054874,35.15690401,0,0,100,,,,,
1-115,128.9054873,35.156904,0,0,1-118,128.9054404,35.15650913,0,2,100,,,,,
1-115,128.9054873,35.156904,0,1,1-116,128.9060696,35.1568712,0,1,100,,,,,
1-116,128.9060696,35.1568712,0,0,1-117,128.9060366,35.15647554,0,2,100,,,,,
1-117,128.9060366,35.15647553,0,0,1-120,128.9060035,35.15607987,0,1,100,,,,,
1-118,128.9054404,35.15650913,0,0,1-118-1,128.9054284,35.1564467,0,0,100,,,,,
1-118,128.9054404,35.15650913,0,1,1-117,128.9060366,35.15647554,0,1,100,,,,,
1-118-1,128.9054284,35.15644669,0,0,1-118-2,128.9054045,35.15624947,0,0,100,,,,,
1-118-2,128.9054045,35.15624946,0,0,1-119,128.9053976,35.15611402,0,0,100,,,,,
1-119,128.9053976,35.15611401,0,0,1-120,128.9060035,35.15607987,0,0,100,,,,,
1-120,128.9060036,35.15607986,0,0,1-053,128.9065072,35.15605149,0,1,100,,,,,
1-121,128.9059501,35.15570341,0,1,1-124,128.9059125,35.1552538,0,0,100,,,,,
1-121,128.9059501,35.15570341,0,0,1-054,128.9064756,35.1556738,0,1,100,,,,,
1-122,128.905444,35.15573194,0,0,1-122-1,128.905438,35.15561205,0,0,100,,,,,
1-122,128.905444,35.15573194,0,0,1-121,128.9059501,35.15570342,0,0,100,,,,,
1-122-1,128.9054379,35.15561204,0,0,1-122-2,128.9053706,35.15533855,0,0,100,,,,,
1-122-2,128.9053706,35.15533855,0,0,1-123,128.9053476,35.15528564,0,2,100,,,,,
1-123,128.9053476,35.15528563,0,0,1-123-1,128.9052931,35.15511845,0,0,100,,,,,
1-123,128.9053476,35.15528563,0,1,1-124,128.9059125,35.1552538,0,1,100,,,,,
1-123-1,128.9052931,35.15511844,0,0,1-126,128.9052583,35.15489313,0,0,100,,,,,
1-124,128.9059125,35.15525379,0,0,1-125,128.9058795,35.15485813,0,2,100,,,,,
1-125,128.9058794,35.15485812,0,0,1-128,128.9058443,35.15443796,0,1,100,,,,,
