startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
BM57,128.9121435,35.151296,0,BM56,128.9106107,35.15138246,0,1500_1800,,,,
BM58,128.9091857,35.15144294,0,BM59,128.9077624,35.15152318,0,2500_1800,,,,
BM581,128.9091671,35.15148374,0,BM591,128.9077438,35.15156398,0,2500_1800,,,,
BM59,128.9077624,35.15152318,0,BM60,128.9062295,35.15160958,0,2500_1800,,,,
BM591,128.9077438,35.15156398,0,BM601,128.9062109,35.15165038,0,2500_1800,,,,
BM6,128.9134723,35.13553527,0.21,BM6_1,128.9132436,35.13447308,0.1,1500_1800,,,,
BM6_1,128.9132436,35.13447308,0.1,BM7,128.9131204,35.13440554,0.09,1500_1800,,,,
BM60,128.9062295,35.15160958,0,BM76,128.904846,35.15168755,0,2500_1800,,,,
BM601,128.9062109,35.15165038,0,BM761,128.90487,35.1517115,0,2500_1800,,,,
BM602,128.9060384,35.1516854,0,BM602_1,128.9045871,35.15175996,0,2500_1800,,,,
BM61,128.9061367,35.15727872,0,BM61_1,128.9052658,35.15733503,0,2500_1800,,,,
BM6-1,128.915928,35.15970968,0,BM5-1,128.9176701,35.15949418,0,1500_1800,,,,
BM611,128.9061181,35.15731953,0,BM611_1,128.9052689,35.15736016,0,2500_1800,,,,
BM62,128.906509,35.15725775,0,BM61,128.9061367,35.15727872,0,2500_1800,,,,
BM621,128.9064904,35.15729855,0,BM611,128.9061181,35.15731953,0,2500_1800,,,,
BM63,128.9091079,35.15715101,0,BM641,128.9077769,35.15722603,0,2500_1800,,,,
BM631,128.9090827,35.15711267,0,BM64,128.9077955,35.15718523,0,2500_1800,,,,
BM64,128.9077955,35.15718523,0,BM62,128.906509,35.15725775,0,2500_1800,,,,
BM641,128.9077769,35.15722603,0,BM621,128.9064904,35.15729855,0,2500_1800,,,,
BM65,128.9096573,35.15708479,0,BM631,128.9090827,35.15711267,0,2000_1800,,,,
BM651,128.9096818,35.15711413,0,BM63,128.9091079,35.157151,0,2000_1800,,,,
BM66,128.9098763,35.15707244,0,BM65,128.9096573,35.15708479,0,2000_1800,,,,
BM661,128.909857,35.15710424,0,BM651,128.9096818,35.15711413,0,2000_1800,,,,
BM67,128.9103758,35.15705963,0,BM661,128.909857,35.15710424,0,3000_1800,,,,
BM67-1,128.9141282,35.1492673,0,BM67-1_1,128.9143481,35.14826348,0,1500_1800,,,,
BM68,128.9111368,35.15701672,0,BM67,128.9103758,35.15705963,0,3000_1800,,,,
BM69,128.9132629,35.15689679,0,BM68,128.9111368,35.15701672,0,3000_1800,,,,
BM7,128.9131204,35.13440554,0.09,BM7_1,128.9128777,35.13427257,0.06,1500_1800,,,,
BM7_1,128.9128777,35.13427257,0.06,BM8-1,128.9128664,35.13421974,0.06,1500_1800,,,,
BM70,128.9080818,35.16013177,0,BM77,128.9065364,35.16021887,0,2500_1800,,,,
BM701,128.9081004,35.16009098,0,BM771,128.9098849,35.16003012,0,2500_1800,,,,
BM71,128.9099035,35.15998931,0,BM701,128.9081004,35.16009098,0,2500_1800,,,,
BM711,128.9098849,35.16003012,0,BM70,128.9080818,35.16013177,0,2500_1800,,,,
BM72,128.9101242,35.1600374,0,BM72_1,128.9100574,35.16004117,0,1500_1800,,,,
BM72_1,128.9100574,35.16004117,0,BM72_2,128.9099963,35.16001661,0,1500_1800,,,,
BM72_2,128.9099963,35.16001661,0,BM72_3,128.9099144,35.16002123,0,1500_1800,,,,
BM73,128.9120952,35.15992625,0,BM72,128.9101242,35.1600374,0,1500_1800,,,,
BM741,128.9066582,35.13694422,0,BM741_1,128.9061278,35.1369752,0,3000_1800,,,,
BM741_1,128.9061278,35.1369752,0,BM741_2,128.9060353,35.13698267,0,3000_1800,,,,
BM741_2,128.9060353,35.13698267,0,BM741_3,128.9055697,35.13723993,0,3000_1800,,,,
BM742,128.9066169,35.13692127,0,BM742_1,128.9061261,35.13694548,0,3000_1800,,,,
BM742_1,128.9061261,35.13694548,0,BM742_2,128.9060213,35.13694913,0,3000_1800,,,,
BM742_2,128.9060213,35.13694913,0,BM742_1,128.9055364,35.1372171,0,3000_1800,,,,
BM75,128.9055791,35.14876188,0,BM75_1,128.9038107,35.14884978,0,3500_1800,,,,
BM751,128.9055544,35.14872894,0,BM751_1,128.9038105,35.14881546,0,3500_1800,,,,
BM752,128.9055277,35.14867262,0,BM752_1,128.9038103,35.14878114,0,3500_1800,,,,
BM753,128.9055029,35.14863969,0,BM753_1,128.9038101,35.14874682,0,3500_1800,,,,
BM76,128.904846,35.15168756,0,BM76_1,128.9045811,35.1517097,0,2500_1800,,,,
BM761,128.90487,35.1517115,0,BM761_1,128.9045841,35.15173483,0,2500_1800,,,,
BM77,128.9065364,35.16021887,0,BM77_1,128.9061575,35.160233,0,2500_1800,,,,
BM77_1,128.9061575,35.160233,0,BM77_2,128.9056603,35.16056273,0,2500_1800,,,,
BM771,128.906555,35.16017807,0,BM771_1,128.9061457,35.16020837,0,2500_1800,,,,
BM771_1,128.9061457,35.16020837,0,BM771_2,128.9056462,35.16053966,0,2500_1800,,,,
BM78,128.9135417,35.13570628,0.25,BM6,128.9134723,35.13553527,0.2,1500_1800,,,,
BM8,128.9061346,35.13683342,0.06,BM8_1,128.9061248,35.13688835,0.06,2000_1800,,,,
BM8_1,128.9061248,35.13688835,0.06,BM8_2,128.9060944,35.13691278,0.05,2000_1800,,,,
BM8_2,128.9060944,35.13691278,0.05,BM8_3,128.9060761,35.13692752,0.04,2000_1800,,,,
BM8-1,128.9128664,35.13421974,0.06,BM8-1_1,128.912806,35.13393529,0,1500_1800,,,,
BM9,128.9084599,35.14275839,0.41,BM16,128.9083715,35.14170052,0.36,1500_1800,,,,
BM9-1,128.9138639,35.14819079,0,BM9-1_1,128.9123828,35.14827435,0,2500_1800,,,,
BM9-1_1,128.9123828,35.14827435,0,BM9-1_2,128.912337,35.1483176,0,2500_1800,,,,
BM9-1_2,128.912337,35.1483176,0,BM9-1_3,128.9123238,35.14831834,0,2500_1800,,,,
M1-1,128.911357,35.13589745,2.27,M1-2,128.9116854,35.13587892,2.13,500,,,,
M1-10,128.9136912,35.1357571,2.05,BM78,128.9135417,35.13570628,1.86,500,,,,
M1-100,128.9088291,35.14454454,1.63,SM2-56,128.9088693,35.14502467,1.52,450,,,,
M1-101,128.9095049,35.14473357,2.5,M2-51,128.9095261,35.14498763,2.44,450,,,,
M1-10-1,128.9108693,35.1350793,1.52,M2-5-1,128.9108384,35.13471061,1.4,500,,,,
M1-102,128.9099641,35.14496294,2.91,M2-51,128.9095261,35.14498763,2.49,500,,,,
M1-103,128.9054379,35.14930972,0,SM3-30,128.9054679,35.14966942,0,450,,,,
M1-104,128.9055092,35.150164,0,SM3-30,128.9054679,35.14966942,0,450,,,,
M1-105,128.9049672,35.14933717,0,SM3-31,128.9049972,35.14969687,0,450,,,,
M1-106,128.9050385,35.15019145,0,SM3-31,128.9049972,35.14969687,0,450,,,,
M1-107,128.9057127,35.15036034,0,M1-108,128.9052747,35.15038502,0,450,,,,
M1-108,128.9052747,35.15038502,0,SM2-65,128.9047127,35.15041669,0,450,,,,
M1-109,128.9048666,35.15154452,0,SM2-66,128.9047235,35.15096043,0,450,,,,
M1-11,128.9098855,35.13513479,2.12,M1-60-1,128.9094477,35.13515949,1.92,450,,,,
M1-1-1,128.9123909,35.13566572,1.7,M2-2,128.9123665,35.1353743,1.51,450,,,,
M1-110,128.90506,35.15058007,0,M2-56,128.90509,35.15093977,0,450,,,,
M1-111,128.9051314,35.15143436,0,M2-56,128.90509,35.15093977,0,450,,,,
M1-112,128.9055417,35.15055293,0,M2-57,128.9055718,35.15091263,0,450,,,,
M1-113,128.9057579,35.15090214,0,M2-57,128.9055718,35.15091263,0,450,,,,
M1-114,128.9056131,35.15140721,0,M2-57,128.9055718,35.15091263,0,450,,,,
M1-115,128.9056559,35.15178827,0,SM4-10,128.9048581,35.15183323,0,450,,,,
M1-116,128.9056746,35.15201215,0,M1-115,128.9056559,35.15178827,0,450,,,,
M1-117,128.9052743,35.15218924,0,SM4-9,128.9048363,35.15221392,0,450,,,,
M1-118,128.9057047,35.15237185,0,M2-58,128.9056875,35.15216595,0,450,,,,
M1-119,128.9058627,35.15215608,0,M2-58,128.9056875,35.15216595,0,450,,,,
M1-12,128.910732,35.13508704,2.13,SM2-6,128.9100144,35.13512752,1.61,450,,,,
M1-120,128.9053475,35.15257361,0,SM4-11,128.904862,35.15260097,0,450,,,,
M1-121,128.9057356,35.15274209,0,M2-59,128.9057198,35.15255263,0,450,,,,
